,#Rank,University,Town
484,485,Jaypee University of Engineering and Technology,Raghogarh
485,486,Medi-Caps University,Indore
486,487,Meenakshi Academy of Higher Education and Research,Chennai
487,488,Sanskriti University,Mathura
488,489,Sant Longowal Institute of Engineering and Technology,Sangrur
489,490,Tilak Maharashtra Vidyapeeth,Pune
490,491,JECRC University,Jaipur
491,492,Karnavati University,Gandhinagar
492,493,Central Institute of Fisheries Education,Mumbai
493,494,Kalinga University,Raipur
494,495,Indian Institute of Public Health,Gandhinagar
495,496,Karnataka State Akkamahadevi Women's University,Bijapur ...
496,497,Prof. Rajendra Singh (Rajju Bhaiya) University,Allahabad
497,498,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu
498,499,Shri Venkateshwara University,Gajraula
499,500,Bihar Agricultural University,Bhagalpur
500,501,University of Gour Banga,Malda
501,502,Dr. Bhimrao Ambedkar University,Agra
502,503,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha
503,504,National Institute of Technology Delhi,New Delhi
504,505,Career Point University,Hamirpur ...
505,506,Central University of Jammu,Jammu
506,507,National University of Study and Research in Law,Ranchi
507,508,Jananayak Chandrashekhar University,Ballia
508,509,Dr. Ram Manohar Lohiya National Law University,Lucknow
509,510,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
510,511,Central University of Odisha,Koraput
511,512,Sri Krishnadevaraya University,Anantapur ...
512,513,Madan Mohan Malaviya University of Technology,Gorakhpur
513,514,JK Lakshmipat University,Jaipur
514,515,Tumkur University,Tumkur
515,516,Mewar University,Chittorgarh
516,517,"Indian Institute of Information Technology, Sri City",Sri City
517,518,Mandsaur University,Mandsaur
518,519,Shri Govind Guru University,Godhra
519,520,Cooch Behar Panchanan Barma University,Cooch Behar
520,521,Rajiv Gandhi National Institute of Youth Development,Sriperumbudur
521,522,"National Institute of Technology, Goa",Farmagudi
522,523,Maharana Pratap University of Agriculture and Technology,Udaipur
523,524,People's University,Bhopal
524,525,Deenbandhu Chhotu Ram University of Science and Technology,Murthal
